ID,Description,Location Lat,Location Lng,Pickup Quantity,Delivery Quantity,Service Time
J-GP-001,Sandton retail,-26.1076,28.0567,0,2,600
J-GP-002,Pretoria CBD,-25.7479,28.2293,0,3,600
J-GP-003,Soweto store,-26.2678,27.8585,0,2,480
J-GP-004,JHB CBD office,-26.171,28.0473,0,2,480
J-GP-005,Braamfontein café,-26.2023,28.0436,0,1,480
J-KZN-001,PMB wholesaler,-29.6006,30.3794,0,3,600
J-KZN-002,Hillcrest mall,-29.8283,30.8911,0,2,480
J-KZN-CH1,Umhlanga fresh (ch),-29.726,31.068,0,2,600
J-KZN-CH2,Ballito grocer (ch),-29.538,31.214,0,2,600
J-KZN-003,South Durban depot,-29.95,30.995,0,2,480
